博物馆信息统计(找不到内容的填NULL)								
Num(用于标识，留空)	M_Cname(中文名）	M_Ename(英文名)	M_Batch(批次）	Province(所属省份)	M_Address(地址)	M_web(官网）	微信公众号	备注
180101	湖南省博物馆	HUNAN MUSEUM	1	湖南	湖南省长沙市开福区东风路50号	http://www.hnmuseum.com/		
180102	韶山毛泽东故居纪念馆	NULL	1	湖南	湖南省韶山市韶山冲	NULL	NULL	没有官网和公众号
180103	刘少奇同志纪念馆 / 刘少奇故里管理局	NULL	1	湖南	湖南省长沙市宁乡市花明楼镇花明楼景区	http://www.shaoqiguli.com/	huamingloujingqu	疑似官网，且官网有两个馆名，已标出
180301	长沙简牍博物馆	CHANGSAHO JIANDU MUSEUM	3	湖南	长沙市天心区白沙路92号	http://www.chinajiandu.cn/		
180401	长沙博物馆	CHANGSAHO MUSEUM	4	湖南	湖南省长沙市开福区新河三角洲滨江文化园内 	http://www.csm.hn.cn/		
180402	胡耀邦故居	Hu yaobang's former residence	4	湖南	湖南省浏阳市中和镇苍坊村敏溪河畔	NULL	huyaobangguli	无官网，英文名和地址均来自百度百科
190101	广东省博物馆	GUANGDONG MUSEUM	1	广东	广东省广州市天河区珠江新城珠江东路2号	http://www.gdmuseum.com/		
190102	西汉南越王博物馆	THE MUSEUM OF THE NANYUE KING MAUSOLEUM	1	广东	广州市解放北路867号	https://www.gznywmuseum.org/		英文名来自百度百科
190103	孙中山故居纪念馆	THE MUSEUM OF DrRSUN YAT-SEN	1	广东	广东省中山市翠亨村	http://www.sunyat-sen.org/		
190201	深圳博物馆	SHENZHEN MUSEUM	2	广东	见备注	https://www.shenzhenmuseum.com/		有四个分馆：历史民俗馆(福田区福中路市民中心A区)、深圳改革开放展览馆（深圳市福田区福中路184号（深圳市当代艺术与城市规划馆四楼、五楼））、古代艺术馆（福田区同心路6号）、东江游击队指挥部旧址（罗湖区南庆街13号）
190301	广州博物馆	Guangzhou Museum	3	广东	广东省广州市越秀公园内镇海楼 	http://www.guangzhoumuseum.cn/		官网无法打开，地址和英文名均来自百度百科
190302	广东民间工艺博物馆	GUANGDONG FOLK ARTS MUSEUM	3	广东	广州市中山七路	https://www.gzchenjiaci.com/MYwebsite/rc/my_index.htm		
190401	广州艺术博物院	GUANGZHOU MUSEUM OF ART	4	广东	广州市麓湖路13号	https://www.gzam.com.cn/		
190402	中国客家博物馆	HAKKA MUSEUM OF CHINA	4	广东	广东省梅州市梅江区东山大道2号	http://www.zgkjbwg.com/		
190403	鸦片战争博物馆	THE OPIUM WAR MUSEUM	4	广东	广东省东莞市虎门镇解放路113号	http://www.ypzz.cn/f/index		
190405	广东海上丝绸之路博物馆	Maritime Silk Road Museum of Guangdong	4	广东	广东省阳江市海陵岛试验区十里银滩  	https://www.msrmuseum.com/		
200101	广西壮族自治区博物馆	the Museum of GuangxiZhuang Autonomous Region（壮语：GVANGJSIH BOUXCUENGH SWCIGIH BOZYUZGYANJ） 	1	广西	广西南宁市民族大道34号	http://www.gxmuseum.cn/		英文名来自百度百科
200301	广西民族博物馆	ANTHROPOGY MUSEUM OF GUANGXI	3	广西	南宁市青秀山文化风景区	http://www.amgx.org/		
200401	桂林博物馆	GUILIN MUSEUM	4	广西	桂林市临桂区平桂西路一院两馆内	http://www.guilinmuseum.org.cn/		
